,Team,GP,PTS,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,BLK,TO
15,Florida Atlantic Owls,33,82.5,29.4,48.1,8.5,23.7,35.6,15.3,21.3,71.8,38.1,15.0,3.0,11.1
16,Cornell Big Red,30,82.1,29.8,48.7,10.3,29.7,34.8,12.1,16.7,72.3,35.4,18.1,2.6,12.2
17,Lipscomb Bisons,32,82.1,30.0,49.3,9.3,24.4,38.0,12.8,16.7,76.7,33.3,14.5,3.4,10.0
18,Tulane Green Wave,31,81.9,27.6,47.6,7.5,21.1,35.7,19.2,26.2,73.2,33.2,14.2,4.4,11.2
19,BYU Cougars,33,81.8,29.4,46.2,11.2,32.2,34.8,11.8,16.1,73.8,39.6,18.6,3.0,10.7
20,UT Martin Skyhawks,32,81.5,28.4,44.4,8.7,24.3,35.8,16.1,20.8,77.1,41.2,13.0,2.8,11.4
21,UConn Huskies,34,81.5,29.1,49.6,8.8,24.0,36.7,14.5,19.5,74.2,38.5,18.5,5.4,9.9
22,North Carolina Tar Heels,34,81.5,28.1,44.9,7.9,22.4,35.4,17.4,23.0,75.4,41.1,14.5,4.1,10.3
23,New Mexico Lobos,34,81.5,29.8,45.7,6.6,19.8,33.4,15.2,21.3,71.5,39.6,14.7,5.1,9.9
24,Youngstown State Penguins,32,81.2,29.1,45.1,8.8,27.3,32.3,14.2,18.4,77.1,40.0,15.3,4.9,11.0
25,Denver Pioneers,34,81.0,27.8,45.0,8.6,24.9,34.8,16.7,22.9,73.0,35.3,13.1,3.9,10.0
26,Purdue Fort Wayne Mastodons,33,80.9,29.1,47.1,9.5,26.2,36.3,13.1,18.8,69.8,32.2,13.6,3.2,10.3
27,Eastern Washington Eagles,32,80.8,27.9,50.1,8.5,23.4,36.4,16.4,21.3,77.1,33.8,17.6,3.6,13.2
28,Eastern Kentucky Colonels,31,80.8,29.6,46.0,7.8,21.9,35.8,13.8,20.3,68.0,40.2,14.6,6.1,11.5
29,Washington Huskies,32,80.6,29.1,47.0,8.1,22.8,35.4,14.3,19.9,72.2,36.0,15.1,3.7,11.7
30,Western Kentucky Hilltoppers,33,80.6,29.3,46.8,6.8,20.1,34.0,15.1,21.0,71.9,39.8,13.2,3.2,13.7
31,Baylor Bears,33,80.5,27.7,48.3,8.5,21.8,38.8,16.8,22.8,73.6,35.3,14.8,3.2,12.1
32,Creighton Bluejays,32,80.5,29.2,48.6,10.6,29.3,36.1,11.5,14.7,78.1,37.9,17.1,4.1,10.6
33,Memphis Tigers,32,80.5,28.0,46.0,8.3,23.7,35.0,16.1,22.2,72.5,37.0,13.7,4.5,13.1
34,Charleston Cougars,34,80.5,28.6,44.3,10.5,30.6,34.5,12.6,17.6,72.0,39.7,15.3,3.1,9.9
35,Drake Bulldogs,34,80.5,28.4,47.9,8.7,23.6,36.7,14.9,19.6,76.0,34.4,15.9,1.6,9.6
36,McNeese Cowboys,33,80.4,28.8,49.3,7.6,19.7,38.8,15.2,22.0,69.1,36.1,15.0,3.4,9.7
37,Northern Colorado Bears,32,80.3,29.7,49.0,7.9,22.1,35.6,13.0,17.8,72.9,34.5,14.8,2.4,11.1
38,Arkansas-Pine Bluff Golden Lions,31,80.1,26.2,44.6,10.9,29.0,37.5,16.8,22.0,76.2,34.5,15.1,2.2,13.2
39,Queens University Royals,33,80.1,28.1,44.3,8.9,26.2,34.0,14.9,21.0,71.0,36.9,13.2,2.8,11.4
40,UMass Lowell River Hawks,32,80.0,28.5,47.5,5.8,17.7,32.9,17.2,23.3,73.6,40.8,12.7,4.9,13.3
41,Toledo Rockets,32,80.0,28.8,47.8,6.5,17.2,37.6,16.0,21.3,75.4,33.9,13.4,2.0,10.7
42,Duke Blue Devils,32,79.8,28.5,48.2,8.3,22.1,37.7,14.4,20.0,72.2,36.5,15.4,3.7,9.7
43,Utah State Aggies,33,79.8,28.6,49.3,6.3,19.2,33.1,16.3,22.8,71.5,36.3,16.4,4.1,11.2
44,Grand Canyon Lopes,33,79.8,26.8,46.5,7.2,20.9,34.4,18.9,25.2,75.3,38.2,12.4,5.3,12.3
45,Troy Trojans,32,79.6,26.8,44.1,8.6,24.6,35.1,17.3,23.5,73.3,38.4,13.7,3.3,13.8
46,Milwaukee Panthers,35,79.5,28.0,44.6,7.9,24.6,32.2,15.6,21.4,72.7,39.0,14.2,4.4,12.5
47,Furman Paladins,33,79.5,27.6,44.4,9.7,29.9,32.4,14.6,20.0,72.8,37.8,16.2,2.9,11.8
48,Tennessee Volunteers,32,79.5,27.4,44.4,8.7,25.5,34.2,15.9,21.2,74.9,38.8,16.8,4.7,10.3
49,UNC Wilmington Seahawks,31,79.4,27.8,46.1,8.3,23.9,34.8,15.4,20.3,76.0,34.4,12.2,2.4,8.6
50,Colorado Buffaloes,34,79.3,28.3,49.3,6.9,17.5,39.4,15.8,20.3,77.8,37.6,15.9,2.1,12.7
51,TCU Horned Frogs,33,79.2,28.5,46.5,6.6,18.5,35.6,15.7,21.5,73.0,37.0,17.0,3.8,12.8
52,UNC Asheville Bulldogs,34,78.9,26.6,46.5,8.1,22.3,36.5,17.4,23.5,74.2,34.5,15.7,4.3,11.8
53,St. John's Red Storm,33,78.8,29.4,45.3,7.2,21.1,34.1,12.9,17.7,72.8,38.8,15.7,5.5,10.9
54,Arkansas State Red Wolves,34,78.7,27.5,44.1,9.4,27.1,34.9,14.4,20.4,70.4,38.2,14.5,4.4,11.4
55,Bryant Bulldogs,33,78.7,28.9,45.7,8.3,24.4,33.9,12.6,18.9,66.9,37.6,14.8,6.5,11.9
56,UAlbany Great Danes,32,78.7,28.7,44.6,7.8,23.7,33.0,13.5,18.6,72.6,35.7,12.8,3.2,13.1
57,UMBC Retrievers,32,78.7,29.8,46.6,8.0,22.3,35.7,11.0,15.8,69.8,36.8,13.0,3.9,13.1
58,Appalachian State Mountaineers,33,78.5,29.3,47.5,6.6,19.6,33.5,13.3,19.7,67.8,42.0,14.7,6.8,10.8
59,Marquette Golden Eagles,34,78.3,29.1,47.8,8.9,24.7,35.8,11.1,15.6,71.5,32.8,15.8,3.2,9.9
60,Utah Utes,34,78.2,29.1,46.8,8.9,24.7,36.1,11.1,17.1,65.0,38.9,17.4,4.3,11.6
61,Chattanooga Mocs,33,78.2,27.0,46.6,10.6,29.4,35.9,13.6,18.2,74.5,36.5,13.5,3.7,11.9
62,Wake Forest Demon Deacons,33,78.2,27.7,47.7,8.2,21.9,37.2,14.6,18.3,79.5,34.0,12.5,4.1,10.8
63,North Florida Ospreys,32,78.0,26.5,44.3,12.0,33.2,36.0,13.0,16.9,76.6,33.6,12.4,3.6,11.3
64,San Francisco Dons,33,77.9,29.3,48.9,8.6,24.3,35.4,10.7,14.1,75.8,33.9,16.2,3.5,11.5
65,Belmont Bruins,33,77.9,27.9,47.6,9.1,24.6,37.1,12.9,17.8,72.3,34.2,15.3,3.1,12.2
66,UAB Blazers,34,77.8,27.0,45.1,6.1,18.8,32.6,17.8,23.8,74.6,38.1,13.6,4.6,11.5
67,Lamar Cardinals,33,77.8,27.6,45.0,7.5,21.7,34.6,15.0,20.6,73.0,38.1,16.5,3.7,12.9
68,Quinnipiac Bobcats,33,77.8,27.7,45.1,7.5,21.2,35.3,14.9,19.1,78.0,36.8,14.1,3.7,12.2
69,Arkansas Razorbacks,33,77.8,26.0,45.3,6.0,18.9,31.8,19.7,26.0,75.6,34.5,11.7,6.1,12.0
70,Long Beach State Beach,35,77.7,27.7,44.7,5.5,17.7,30.8,16.9,23.8,71.1,38.5,15.4,4.2,12.6
71,UC Irvine Anteaters,34,77.6,28.4,47.5,5.8,16.6,34.9,14.9,19.9,75.3,37.7,15.6,3.3,11.5
72,UTSA Roadrunners,32,77.6,26.2,41.0,9.7,28.8,33.7,15.6,21.9,71.0,40.3,13.9,4.2,11.3
73,Nebraska Cornhuskers,33,77.6,26.8,45.2,9.5,26.4,35.8,14.5,19.2,75.4,37.8,15.3,2.6,11.1
74,Stetson Hatters,34,77.5,27.4,46.7,9.1,24.6,37.0,13.5,17.6,76.6,34.5,13.5,3.1,10.3
75,Massachusetts Minutemen,31,77.5,27.7,45.1,6.7,21.5,31.3,15.4,22.0,69.9,38.3,15.6,3.0,11.1
76,Clemson Tigers,32,77.4,27.4,46.8,8.3,23.6,35.4,14.2,18.0,79.0,36.4,14.7,3.9,10.2
77,Little Rock Trojans,33,77.4,28.1,47.2,6.3,18.4,34.1,14.9,19.9,74.9,36.7,14.7,4.8,12.2
78,Winthrop Eagles,32,77.3,25.6,46.4,7.4,21.8,34.1,18.8,26.8,70.2,35.3,11.9,2.8,12.9
79,Ohio Bobcats,33,77.3,27.3,45.3,8.9,25.1,35.6,13.8,18.9,73.0,34.9,14.1,3.6,9.7
80,Montana Grizzlies,34,77.2,28.0,48.5,7.7,21.6,35.7,13.6,17.1,79.3,34.0,14.9,2.9,10.0
81,Butler Bulldogs,33,77.1,27.9,45.3,8.4,23.6,35.5,12.8,16.2,79.1,35.2,15.1,3.3,10.9
82,Princeton Tigers,28,77.1,26.6,45.9,10.4,29.2,35.7,13.4,16.5,81.0,33.7,14.5,1.9,8.2
83,Columbia Lions,27,77.0,27.7,46.9,8.6,22.8,37.5,12.9,17.7,73.2,35.7,17.4,2.3,12.2
84,Santa Clara Broncos,33,76.9,27.6,46.0,8.2,23.2,35.4,13.4,18.8,71.5,39.3,15.1,2.7,12.8
85,UT Arlington Mavericks,34,76.9,25.9,44.4,9.0,25.3,35.4,16.1,22.0,73.5,37.5,15.8,3.8,15.5
86,Western Carolina Catamounts,32,76.8,28.2,46.0,8.2,22.3,36.6,12.3,17.3,71.2,39.5,11.5,3.2,10.3
87,George Washington Revolutionaries,32,76.8,26.3,44.2,9.0,24.9,36.1,15.3,20.4,74.6,36.8,12.3,4.8,12.4
88,South Dakota State Jackrabbits,34,76.8,28.1,48.3,8.5,23.5,36.3,12.1,17.1,70.8,35.6,12.8,3.2,11.2
89,UC San Diego Tritons,32,76.7,26.8,45.6,8.8,25.0,35.4,14.4,18.9,75.9,34.8,13.0,2.8,9.7
90,North Carolina Central Eagles,31,76.6,26.5,45.4,7.5,22.0,34.2,16.0,23.0,69.5,35.3,12.8,2.7,12.0
91,Florida State Seminoles,33,76.5,27.4,45.3,6.1,19.1,31.7,15.8,22.3,70.7,33.3,12.3,4.3,11.9
92,Texas Longhorns,32,76.5,27.8,47.4,7.4,20.4,36.2,13.5,17.8,75.7,34.6,15.7,4.5,11.4
